Country,iso3,c_raw,Rank_1,Type_1,c_cr,Rank_2,Type_2,c_adj,xi,Rank_3,Type_3,c_adj_4,Rank_4,Type_4,Delta
Canada,CAN,1.5920694986039132,7,EE,1.5920694986039132,2,EE,1.6045984451282045,0.9491803699159549,1,EE,1.6045984451282045,1,EE,6
Norway,NOR,1.6150263668372389,21,IE,1.6150263668372389,13,IE,1.6162471139266434,0.9952718346161882,2,EE,1.6162471139266434,2,IE,19
Finland,FIN,1.6174829139869082,23,IE,1.6174829139869082,15,IE,1.6174829139869082,1.0,3,IE,1.6174829139869082,3,IE,20
Sweden,SWE,1.6251688719869082,28,ID,1.6251688719869082,20,ID,1.6344508124488257,0.9664172234370924,4,ID,1.6344508124488257,4,IE,24
Iceland,ISL,1.6424512663376352,36,IE,1.6424512663376352,32,IE,1.6472659565767875,0.9833519842243316,5,IE,1.6472659565767875,5,IE,31
New Zealand,NZL,1.6463087959744358,39,ID,1.6463087959744358,36,ID,1.6556198543173335,0.9687085251328384,6,ID,1.6556198543173335,6,DD,33
Australia,AUS,1.6460073909949697,38,ID,1.6460073909949697,35,ID,1.6582966569481197,0.9590679460149015,7,ID,1.6582966569481197,7,ID,31
United States,USA,1.63367943467274,32,IE,1.63367943467274,26,II,1.6583472717411374,0.9178522906511772,8,IE,1.6583472717411374,8,IE,24
United Kingdom,GBR,1.645620258998278,37,IE,1.645620258998278,34,IE,1.6657070646214696,0.9347080888843216,9,IE,1.6657070646214696,9,DD,28
Denmark,DNK,1.672801769823664,61,II,1.672801769823664,61,II,1.6735467146358463,0.9976387374882297,10,II,1.6735467146358463,10,II,51
France,FRA,1.6474516413067803,43,II,1.6474516413067803,40,II,1.6753120945400028,0.9121817214014358,11,II,1.6753120945400028,11,II,32
Netherlands,NLD,1.6689209448328282,58,II,1.6689209448328282,58,II,1.6781109047784164,0.9712858616162319,12,II,1.6781109047784164,12,II,46
Luxembourg,LUX,1.6758109786345594,65,II,1.6758109786345594,65,II,1.6828903412827207,0.9782059078208958,13,II,1.6828903412827207,13,II,52
Belgium,BEL,1.668458158589712,57,II,1.668458158589712,56,II,1.6885559783850321,0.9391887459335748,14,II,1.6885559783850321,14,II,43
Portugal,PRT,1.6540466210312843,48,ID,1.6540466210312843,46,ID,1.690406752422231,0.8905954991858905,15,ID,1.690406752422231,15,ID,33
Estonia,EST,1.670266931048826,59,II,1.670266931048826,59,II,1.6964143526704603,0.9227215744266267,16,II,1.6964143526704603,16,II,43
UAE,ARE,1.6214810337909997,27,ID,1.6511256837909998,42,ID,1.6968360390344763,0.8650716926103367,17,IE,1.6968360390344763,17,ID,10
South Korea,KOR,1.6705807957557879,60,ID,1.6705807957557879,60,ID,1.698780298158089,0.9172354052118897,18,ID,1.698780298158089,18,ID,42
Latvia,LVA,1.6540450527205914,47,II,1.6540450527205914,45,II,1.7004806460481605,0.8643898469059444,19,II,1.7004806460481605,19,II,28
Israel,ISR,1.6575846969921193,51,ID,1.6575846969921193,49,ID,1.7020655408791951,0.8706969633025587,20,ID,1.7020655408791951,20,ID,31
Austria,AUT,1.697526960085585,74,II,1.697526960085585,74,II,1.7024351510605296,0.9857475085612776,21,II,1.7024351510605296,21,II,53
Germany,DEU,1.6933877499161045,70,II,1.6933877499161045,70,II,1.7059198183561446,0.9639737031127815,22,II,1.7059198183561446,22,II,48
Spain,ESP,1.6587701827932053,52,ID,1.6587701827932053,50,ID,1.7067183226041938,0.8624777860130465,23,II,1.7067183226041938,23,II,29
China,CHN,1.6052676756823983,12,II,1.6052676756823983,5,IE,1.707006304433982,0.7084396891314014,24,IE,1.707006304433982,24,IE,-12
Switzerland,CHE,1.706021752554784,78,II,1.706021752554784,78,II,1.7085101779249114,0.9928993278864595,25,IE,1.7085101779249114,25,IE,53
Lithuania,LTU,1.6735431206700642,63,II,1.6735431206700642,63,II,1.7111139768509094,0.893582978548037,26,II,1.7111139768509094,26,II,37
Qatar,QAT,1.6060413453120748,15,ID,1.6685843853120748,57,ID,1.713836458493513,0.872807243487041,27,ID,1.713836458493513,27,ID,-12
Singapore,SGP,1.7155865461930835,80,II,1.7155865461930835,80,II,1.7190079269037426,0.9905211000077419,28,IE,1.7190079269037426,28,ID,52
Malta,MLT,1.6639334637705647,55,ID,1.6639334637705647,53,ID,1.7192932758538613,0.846747366095547,29,II,1.7192932758538613,29,II,26
Japan,JPN,1.702561149062123,76,ID,1.702561149062123,76,ID,1.7199840833831834,0.9518601310305052,30,IE,1.7199840833831834,30,IE,46
Chile,CHL,1.6521770915767628,45,ID,1.6521770915767628,43,ID,1.7254084321291379,0.8006483359587623,31,ID,1.7254084321291379,31,ID,14
Malaysia,MYS,1.655762694134372,49,ID,1.655762694134372,47,ID,1.7299552394150282,0.8005010061263672,32,II,1.7299552394150282,32,ID,17
Slovenia,SVN,1.6924322597370864,69,II,1.6924322597370864,69,II,1.7356471463183938,0.8855496254816404,33,II,1.7356471463183938,33,II,36
